epoch,step,train_loss,val_loss
0,29,0.0722135379910469,
0,59,0.0057853530161082745,
0,67,,0.02591043710708618
1,89,0.030987443402409554,
1,119,0.010168218053877354,
1,135,,0.016896020621061325
2,149,0.008076773956418037,
2,179,0.0024064898025244474,
2,203,,0.014249151572585106
3,209,0.010971992276608944,
3,239,0.006991719827055931,
3,269,0.006826966069638729,
3,271,,0.013218343257904053
4,299,0.026040231809020042,
4,329,0.005904020741581917,
4,339,,0.012950025498867035
5,359,0.009516298770904541,
5,389,0.007914096117019653,
5,407,,0.01282547041773796
6,419,0.009981130249798298,
6,449,0.0014484516577795148,
6,475,,0.01213051751255989
7,479,0.021235356107354164,
7,509,0.007137079257518053,
7,539,0.00592994038015604,
7,543,,0.01276214886456728
8,569,0.005066214594990015,
8,599,0.008605950511991978,
8,611,,0.013198832981288433
9,629,0.005043948069214821,
9,659,0.028270862996578217,
9,679,,0.012516389600932598
