epoch,step,train_loss,val_loss
0,29,0.0722135379910469,
0,59,0.0057853530161082745,
0,67,,0.02591043710708618
1,89,0.03292529284954071,
1,119,0.014667971059679985,
1,135,,0.024845091626048088
2,149,0.014201447367668152,
2,179,0.003354291431605816,
2,203,,0.02097165957093239
3,209,0.015414097346365452,
3,239,0.00940733216702938,
3,269,0.00909216608852148,
3,271,,0.019254455342888832
4,299,0.03359060734510422,
4,329,0.008056114427745342,
4,339,,0.016957005485892296
5,359,0.01421314012259245,
5,389,0.009692137129604816,
5,407,,0.01623051054775715
6,419,0.012171830981969833,
6,449,0.0024841977283358574,
6,475,,0.015687666833400726
7,479,0.027924254536628723,
7,509,0.00810618419200182,
7,539,0.007878617383539677,
7,543,,0.015819519758224487
8,569,0.007619775366038084,
8,599,0.01143635343760252,
8,611,,0.015851160511374474
9,629,0.006819653790444136,
9,659,0.03272843733429909,
9,679,,0.015181563794612885
10,689,0.014250253327190876,
10,719,0.008268998004496098,
10,747,,0.015437585301697254
11,749,0.0115869315341115,
11,779,0.006861705332994461,
11,809,0.029776716604828835,
11,815,,0.014303727075457573
12,839,0.009446194395422935,
12,869,0.001785027445293963,
12,883,,0.014251189306378365
13,899,0.009114129468798637,
13,929,0.011143379844725132,
13,951,,0.01463009137660265
14,959,0.015815025195479393,
14,989,0.007138864602893591,
14,1019,0.014037694782018661,
14,1019,,0.013123001903295517
15,1049,0.0071113924495875835,
15,1079,0.010016202926635742,
15,1087,,0.01453464850783348
16,1109,0.017794182524085045,
16,1139,0.0031441880855709314,
16,1155,,0.013548319227993488
17,1169,0.005404072348028421,
17,1199,0.01782296411693096,
17,1223,,0.013058350421488285
18,1229,0.013612344861030579,
18,1259,0.008419630117714405,
18,1289,0.006284104660153389,
18,1291,,0.013146352022886276
19,1319,0.010912147350609303,
19,1349,0.013925069943070412,
19,1359,,0.01333113107830286
20,1379,0.01572745107114315,
20,1409,0.008420058526098728,
20,1427,,0.012967323884367943
21,1439,0.004731216002255678,
21,1469,0.01208962220698595,
21,1495,,0.012797275558114052
22,1499,0.0017960475524887443,
22,1529,0.011201589368283749,
22,1559,0.01065075397491455,
22,1563,,0.012652496807277203
23,1589,0.024638544768095016,
23,1619,0.01586800627410412,
23,1631,,0.012843339703977108
24,1649,0.007858114317059517,
24,1679,0.007967275567352772,
24,1699,,0.013072997331619263
25,1709,0.003857441246509552,
25,1739,0.004656119272112846,
25,1767,,0.01277059968560934
26,1769,0.008675174787640572,
26,1799,0.010434804484248161,
26,1829,0.014680253341794014,
26,1835,,0.012780952267348766
27,1859,0.00688081793487072,
27,1889,0.0011685084318742156,
27,1903,,0.013062722980976105
28,1919,0.005732879973948002,
28,1949,0.0055244904942810535,
28,1971,,0.012412500567734241
29,1979,0.022924618795514107,
29,2009,0.0029048421420156956,
29,2039,0.006041890475898981,
29,2039,,0.012176976539194584
30,2069,0.014968622475862503,
30,2099,0.0015633954899385571,
30,2107,,0.012589052319526672
31,2129,0.008632726036012173,
31,2159,0.010617280378937721,
31,2175,,0.012447752058506012
32,2189,0.01167833711951971,
32,2219,0.014073438942432404,
32,2243,,0.012188566848635674
33,2249,0.004528110846877098,
33,2279,0.0038876202888786793,
33,2309,0.01563440077006817,
33,2311,,0.012299520894885063
34,2339,0.011313742958009243,
34,2369,0.010806486941874027,
34,2379,,0.012195201590657234
35,2399,0.0016000615432858467,
35,2429,0.0015603102510794997,
35,2447,,0.012347332201898098
36,2459,0.011924371123313904,
36,2489,0.0025484049692749977,
36,2515,,0.012341482564806938
37,2519,0.004664464388042688,
37,2549,0.004380418453365564,
37,2579,0.006255129352211952,
37,2583,,0.011956327594816685
38,2609,0.0036899198312312365,
38,2639,0.015990151092410088,
38,2651,,0.012035072781145573
39,2669,0.0022792541421949863,
39,2699,0.003229517489671707,
39,2719,,0.011956497095525265
40,2729,0.013267841190099716,
40,2759,0.011076010763645172,
40,2787,,0.012007778510451317
41,2789,0.016076458618044853,
41,2819,0.0017581844003871083,
41,2849,0.013504154980182648,
41,2855,,0.011859928257763386
42,2879,0.0019139297073706985,
42,2909,0.00448534544557333,
42,2923,,0.011906414292752743
43,2939,0.01684604585170746,
43,2969,0.0015605164226144552,
43,2991,,0.012070425786077976
44,2999,0.0116809643805027,
44,3029,0.0060860770754516125,
44,3059,0.002357106190174818,
44,3059,,0.01188149955123663
45,3089,0.009710006415843964,
45,3119,0.008118322119116783,
45,3127,,0.011958309449255466
46,3149,0.002364551182836294,
46,3179,0.008911160752177238,
46,3195,,0.011909335851669312
47,3209,0.00840009842067957,
47,3239,0.005165171809494495,
47,3263,,0.011938297189772129
48,3269,0.011779279448091984,
48,3299,0.0032982914708554745,
48,3329,0.015325221233069897,
48,3331,,0.011901909485459328
49,3359,0.0024127515498548746,
49,3389,0.0016883615171536803,
49,3399,,0.012125164270401001
